Country,Year,Electricity source,Biomass and Waste,Coal,Gas,Geothermal,Hydroelectric,Nuclear,Oil,Solar Tide Wave,Wind
Samoa,2014,,-,-,-,-,0.029999999,-,0.059999999,-,-
Sao Tome and Principe,2014,,-,-,-,-,0.01,-,0.059999999,-,-
Saudi Arabia,2014,,-,-,145.3300018,-,-,-,89.66999817,-,-
Senegal,2014,,0.050000001,-,0.07,-,0.310000002,-,4.440000057,-,-
Serbia,2014,,-,23.07999992,0.310000002,-,8.609999657,-,0.050000001,-,-
Seychelles,2014,,-,-,-,-,-,-,0.340000004,-,-
Sierra Leone,2014,,-,-,-,-,0.100000001,-,0.039999999,-,-
Singapore,2014,,1.169999957,-,35.61000061,-,-,-,10.42000008,0.01,-
Slovakia,2014,,0.720000029,3.390000105,3.25,-,3.900000095,14.42000008,0.50999999,0.360000014,-
Slovenia,2014,,0.270000011,4.989999771,0.519999981,-,4.489999771,6.059999943,-,0.25,-
Solomon Islands,2014,,-,-,-,-,-,-,0.079999998,-,-
Somalia,2014,,-,-,-,-,-,-,0.319999993,-,-
South Africa,2014,,0.280000001,225.1499939,-,-,1.100000024,14.73999977,2.180000067,0.02,0.029999999
Spain,2014,,4.96999979,37.81999969,68.93000031,-,39.16999817,54.83000183,14.72000027,14.14000034,79.51000214
Sri Lanka,2014,,-,1.24000001,-,-,2.680000067,-,8.649999619,0.01,-
Sudan,2014,,-,-,-,-,7.110000134,-,-,-,-
Suriname,2014,,-,-,-,-,0.550000012,-,1.5,-,-
Swaziland,2014,,-,0.090000004,-,-,0.129999995,-,0.270000011,-,-
Sweden,2014,,11.97000027,1.74000001,1.659999967,-,64.04000092,62.29000092,1.059999943,0.050000001,10.15999985
Switzerland,2014,,2.460000038,-,1.100000024,1.889999986,37.38999939,26.37000084,0.050000001,0.769999981,0.119999997
Syrian Arab Republic,2014,,-,-,19.02000046,-,2.430000067,-,15.30000019,-,-
Taiwan,2014,,3.400000095,75.06999969,25.02000046,-,3.559999943,40.79999924,81.19000244,0.090000004,1.720000029
Tajikistan,2014,,-,-,0.75999999,-,15.67000008,-,-,-,-
Thailand,2014,,3.170000076,37.36999893,123.2399979,-,5.519999981,-,4.050000191,1.610000014,-
Togo,2014,,-,-,-,-,0.090000004,-,0.029999999,-,-
Tonga,2014,,-,-,-,-,-,-,0.039999999,-,-
Trinidad and Tobago,2014,,0.02,-,8.220000267,-,-,-,2.019999981,-,-
Tunisia,2014,,-,-,17.10000038,-,0.109999999,-,2,-,0.550000012
Turkey,2014,,1.24000001,67.19000244,102.8700027,-,39.61999893,-,1.529999971,1,9.140000343
Turkmenistan,2014,,-,-,16.18000031,-,-,-,-,-,-
Turks and Caicos Islands,2014,,-,-,-,-,-,-,0.170000002,-,-
U.S. Pacific Islands,2014,,-,-,-,-,0.01,-,0.409999996,-,-
Uganda,2014,,0.100000001,-,-,-,2.630000114,-,0.519999981,-,-
Ukraine,2014,,0.129999995,56.79000092,16,-,6.239999771,82.12000275,0.529999971,-,0.430000007
